,Region Name,District,HR_info_district_name,REGN_NO,DIST_NO
0,Bay,Baidoa,Baidoa,24.0,2401.0
1,Bay,Baidoa,Baidoa,24.0,2401.0
2,Gedo,Ceel Waaq,El Waq,26.0,2604.0
3,Benadir,Mogadishu,Mogadishu,22.0,2201.0
4,Bay,Baidoa,Baidoa,24.0,2401.0
5,Bay,Baidoa,Baidoa,24.0,2401.0
6,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
7,Lower Juba,Kismayo,Kismayo,28.0,2804.0
8,Bay,Diinsor,Diinsoor,24.0,2403.0
9,Middle Juba,Sakow,Saakow,27.0,2703.0
10,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
11,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
12,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
13,Lower Juba,Afmadow,Afmadow,28.0,2801.0
14,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
15,Bay,Baidoa,Baidoa,24.0,2401.0
16,Gedo,Bardera,Baardheere,26.0,2601.0
17,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
18,Hiran,Buloburde,Bulo Burti,20.0,2002.0
19,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
20,Bay,Diinsor,Diinsoor,24.0,2403.0
21,Gedo,Dolow,Doolow,26.0,2603.0
22,Bakool,El Barde,Ceel Barde,25.0,2501.0
23,Gedo,Ceel Waaq,El Waq,26.0,2604.0
24,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
25,Bakool,Hudur,Xudur,25.0,2502.0
26,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
27,Lower Juba,Jamaame,Jamaame,28.0,2803.0
28,Lower Juba,Kismayo,Kismayo,28.0,2804.0
29,Gedo,Luuq,Luuq,26.0,2606.0
30,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
31,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
32,Bakool,Waajid,Waajid,25.0,2505.0
33,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
34,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
35,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
36,Lower Juba,Afmadow,Afmadow,28.0,2801.0
37,Gedo,Dolow,Doolow,26.0,2603.0
38,Gedo,Ceel Waaq,El Waq,26.0,2604.0
39,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
40,Mudug,Galdogob,Galdogob,18.0,1802.0
41,Mudug,Hobyo,Hobyo,18.0,1804.0
42,Mudug,Jariiban,Jariiban,18.0,1805.0
43,Gedo,Luuq,Luuq,26.0,2606.0
44,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
45,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
46,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
47,Mudug,Galdogob,Galdogob,18.0,1802.0
48,Mudug,Hobyo,Hobyo,18.0,1804.0
49,Mudug,Jariiban,Jariiban,18.0,1805.0
50,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
51,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
52,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
53,Mudug,Galdogob,Galdogob,18.0,1802.0
54,Mudug,Hobyo,Hobyo,18.0,1804.0
55,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
56,Lower Juba,Afmadow,Afmadow,28.0,2801.0
57,Gedo,Dolow,Doolow,26.0,2603.0
58,Gedo,Luuq,Luuq,26.0,2606.0
59,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
60,Mudug,Galdogob,Galdogob,18.0,1802.0
61,Mudug,Hobyo,Hobyo,18.0,1804.0
62,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
63,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
64,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
65,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
66,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
67,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
68,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
69,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
70,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
71,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
72,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
73,Sool,Lasanod,Laas Caanood,14.0,1403.0
74,Sool,Taleh,Taleex,14.0,1404.0
75,sool,Xudun,Xudun,14.0,1402.0
76,Gedo,Dolow,Doolow,26.0,2603.0
77,Gedo,Luuq,Luuq,26.0,2606.0
78,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
79,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
80,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
81,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
82,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
83,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
84,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
85,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
86,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
87,Sool,Aynabo,Caynabo,14.0,1401.0
88,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
89,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
90,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
91,Mudug,Galdogob,Galdogob,18.0,1802.0
92,Mudug,Hobyo,Hobyo,18.0,1804.0
93,Mudug,Jariiban,Jariiban,18.0,1805.0
94,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
95,Sool,Lasanod,Laas Caanood,14.0,1403.0
96,Sool,Taleh,Taleex,14.0,1404.0
97,sool,Xudun,Xudun,14.0,1402.0
98,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
99,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
100,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
101,Mudug,Galdogob,Galdogob,18.0,1802.0
102,Mudug,Hobyo,Hobyo,18.0,1804.0
103,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
104,Middle Shebelle,Adale,Cadale,21.0,2004.0
105,Bari,Alula,Caluula,16.0,1601.0
